Name,SMILES,formula,MONOISOTOPIC_MASS,MolecularWeight,LogP,Fragpos,Fragneg,CAS,Plate_ID,DTXSID,EPA_Name,EPA_CAS
Triethanolamine,C(CO)N(CCO)CCO,C6H15NO3,149.1051933,149.19,-2.064,"102.09134,66.6849369674622;114.09134,49.1703622502367;132.10191,100;74.06004,8.19173850216752;88.07569,31.2372315511485;45.03349,49.8280930788779","98.06114,62.4297109977769;100.07679,100;112.07679,33.4641035700275;130.08735,77.8475219040147;116.0717,9.67699751536551;128.0717,12.4820190924546;43.01894,65.3851183470642;74.06114,6.12658558911992;88.07679,10.6512357787368",102-71-6,EPAPLT0063,DTXSID9021392,,
Triethanolamine,C(CO)N(CCO)CCO,C6H15NO3,149.1051933,149.19,-2.064,"102.09134,66.6849369674622;114.09134,49.1703622502367;132.10191,100;74.06004,8.19173850216752;88.07569,31.2372315511485;45.03349,49.8280930788779","98.06114,62.4297109977769;100.07679,100;112.07679,33.4641035700275;130.08735,77.8475219040147;116.0717,9.67699751536551;128.0717,12.4820190924546;43.01894,65.3851183470642;74.06114,6.12658558911992;88.07679,10.6512357787368",102-71-6,EPAPLT0070,DTXSID7044928,Isopropyl triethanolamine titanate,36673-16-2
Triacetin,CC(=O)OCC(COC(=O)C)OC(=O)C,C9H14O6,218.0790382,218.2,0.34,"43.01784,94.5014728197804;99.04406,100;117.05462,59.3501740605195;159.06519,63.0277604213157;57.03349,8.76104614835312;59.04914,25.778809247523;73.02841,16.0626617870213;85.02841,56.7571186289387;97.02841,30.2954565741319;115.03897,37.9719717932697;141.05462,10.5373560653396;45.03349,12.4118539676872;61.02841,17.8300455235205;87.04406,7.86842809961617","59.01385,100;97.0295,5.78333333333333;131.03498,8.09333333333333;133.05063,14.4633333333333;175.0612,9.96666666666667;115.04007,12.0133333333333;41.00329,4.63333333333333",102-76-1,EPAPLT0064,DTXSID3026691,,
Tributylamine,CCCCN(CCCC)CCCC,C12H27N,185.2143499,185.35,4.113,"57.06988,100;130.15903,11.321690811669;41.03858,14.179400674737;43.05423,42.8458027386386;98.09643,18.078983925382;100.11208,32.9430442548125;114.12773,51.4784679499901;126.12773,13.0085334391744;128.14338,36.3266521135146;142.15903,99.2260369120857;144.17468,27.4260766025005;156.17468,43.6892240523913;184.20598,11.6590593371701","182.19142,37.72;140.14447,11;68.05057,19.77;70.06622,77.73;72.08187,100;86.09752,14.98;100.11317,43.77;124.11317,22.42;126.12882,59.53;128.14447,32.76",102-82-9,EPAPLT0060,DTXSID4026183,,
Di(2-ethylhexyl) adipate,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,C22H42O4,370.3083098,370.6,7.356,"55.05423,60.2995832864061;57.06988,52.1060930284942;85.10118,8.03581484401396;111.11683,14.5117693433945;113.13248,100;129.05462,29.0911138641739;131.14304,10.5023088185606;241.17982,22.2716522130871;259.19039,28.2914742651199;341.26864,4.67394976911814;353.30502,10.8796035589593;43.05423,27.5988286969253;83.08553,14.7595449938056;101.05971,3.60400946052483;113.05971,3.64342831399932;131.07027,4.30228629350152;145.04954,56.3126478207005;147.06519,13.0025903817998;159.06519,6.26759770244397;201.11214,6.74625520891992;257.21112,3.34497128054961;41.03858,7.38821939407591;69.06988,7.7655141344746;71.08553,24.2425948868116;95.08553,5.78330893118594;97.10118,4.44306791305327;115.14813,6.92082441716409","239.16527,53.48;73.0295,7.64;93.07097,6.72;95.08662,17.75;97.10227,43.18;99.11792,39.26;107.08662,9.68;109.10227,14.93;111.11792,17.02;123.08154,5.2;127.04007,55.24;127.11284,14.29;129.05572,61.78;129.12849,39.11;241.18092,11.4;255.16018,7.16;257.17583,60.05;271.19148,6.05;339.25408,16.49;341.26973,23.3;351.29047,5.09;57.07097,11.03;71.08662,21.42;131.07137,40.44;133.08702,19.37;143.03498,59.58;145.05063,100;147.06628,96.28;149.08193,77.56",103-23-1,EPAPLT0068,DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,103-23-1
Bis(2-ethylhexyl) nonanedioate,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,C25H48O4,412.35526,412.6,9.063,"55.05423,41.1605234346489;57.06988,55.6957405766123;85.10118,2.97169073562379;113.13248,100;125.09609,8.05484594129607;131.14304,52.270475991867;241.21621,2.11667796256712;283.22677,68.3593139043845;301.23734,47.6826025754653;383.31559,18.7946405296908;395.35197,20.9634534174443;43.05423,26.9954642615088;83.08553,11.6104478390073;111.11683,14.7333298576717;127.07536,10.6668056931338;129.09101,15.4997132579115;141.09101,23.9768520932172;143.10666,17.9448412491528;153.09101,6.67848391637558;155.10666,24.8318648662739;169.08592,20.593295448621;171.10157,54.4966372973255;187.09649,45.1853396590376;189.11214,14.9940044836036;241.14344,10.3852770971274;243.15909,7.28324904853762;255.23186,12.2152129711694;257.24751,5.8495386059121;265.21621,7.99749752359105;267.23186,13.2631249674157;285.24242,9.41035399614201;289.27372,8.62311662582764;355.28429,10.505187425056;385.33124,5.55236953234972;41.03858,5.78697669568844;69.06988,4.95281789270632;71.08553,15.4475783327251;81.06988,2.36171211094312;87.08044,3.02382566081018;95.08553,4.92153693759449;97.10118,3.27407330170481;99.11683,4.08737813461238;109.10118,8.49277931286169;113.09609,3.0133986757729;115.07536,2.76315103487826;115.14813,2.92476930295605;157.12231,2.39299306605495;169.12231,2.74229706480371","281.21222,54.5556321047192;299.22278,90.552876334826;67.05532,6.38132965897348;93.07097,12.61625904237;95.08662,18.6100585601102;97.10227,100;99.11792,66.6207371684464;107.08662,13.7874612469859;109.10227,21.245263520496;111.11792,32.5353083017568;127.11284,26.8343093351705;129.12849,83.715122287289;169.08702,51.4467791939373;171.13905,6.02824664140544;255.23295,9.61935928349983;283.22787,31.984154323114;297.20713,14.5797450912849;381.30103,7.63864967275232;383.31668,35.6958318980365;41.00329,11.884257664485;55.01894,11.3158801240096;57.03459,14.054426455391;57.07097,14.7692042714433;69.07097,11.445056837754;71.08662,31.5018945918016;99.08154,22.6662073716845;101.09719,43.7995177402687;113.09719,17.3871856699966;125.09719,13.968308646228;141.0921,18.9114708921805;143.10775,11.1264209438512;171.10267,58.9906992766104;173.11832,48.4326558732346;185.08193,37.0048225973131;187.09758,86.1178091629349;189.11323,56.4674474681364;243.16018,14.3988976920427;255.16018,11.2211505339304;257.17583,15.9576300378918;271.19148,32.1994488460214",103-24-2,EPAPLT0067,DTXSID3026697,,
Azobenzene,C1=CC=C(C=C1)N=NC2=CC=CC=C2,C12H10N2,182.0843983,182.22,2.8,"79.05423,4.63392671607675;77.03858,100;51.02293,5.46512433331024;63.02293,12.5857172542772;105.04472,5.11186534598601;131.06037,8.81762138948535;133.07602,8.74142827457228","77.03967,100;105.04582,21.929768657192;153.04582,58.8936332929705;155.06147,63.7308010961698",103-33-3,EPAPLT0063,DTXSID8020123,,
Flumioxazin,C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,C19H15FN2O4,354.1015851,354.3,0.908,"325.06191,33.6897426603842;313.0983,100;327.07756,35.9459949256977;327.11395,20.2609641174339;329.09321,10.9641174338528;39.02293,24.6194273287423;79.05423,59.7770931496919;81.06988,27.5915186661834;91.05423,11.5259151866618;109.06479,24.2660384197173;117.03349,14.6701703515767;162.03497,12.2055092424792;162.05495,12.5588981515042;242.06118,19.6810438564697;257.0357,11.6437114896702;281.10847,19.1645523740486;285.067,20.3606379122871;287.08265,20.7049655672345;293.07208,14.642986589344;295.08773,46.3030083363538;297.10338,54.4581370061617;299.04626,27.392171076477;299.11903,14.2352301558536;309.067,33.44508880029;311.08265,22.4084813338166;313.06191,23.7767306995288;315.07756,20.4512504530627;325.0983,13.0753896339253;335.10263,11.3899963754984;337.0983,22.4084813338166;339.07756,11.7433852845234;353.09321,15.1957230880754","325.09939,51.2;18.99895,28.07;295.05244,20.09;311.04736,38.22;311.08374,54.01;325.06301,50.37;333.08808,39.35;335.08374,26.28;0.99073,0.90866;41.00329,100;41.99854,32.11;84.04549,16.84;107.05024,33.98;178.03098,18.23;186.05605,16.19;240.06662,14.77;245.03679,20.9;247.05244,24.91;256.04154,25.78;269.03679,14.15;293.05678,16.79;295.08883,41.2;297.03171,17.71;307.05244,41.28;307.07243,14.29;309.06809,37.1;309.08808,43.46;317.05678,21.7;327.07866,20.42;337.06301,48.89;351.07866,55.49",103361-09-7,EPAPLT0061,DTXSID7032555,,
Octyl gallate,CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,C15H22O5,282.1467238,282.33,4.643,"125.02332,25.8035676274001;135.00767,16.0926391076674;153.01824,100;171.0288,22.9341393843927;43.05423,20.8310272893695;57.06988,22.159308612542;69.06988,4.92996721869811;71.08553,6.48814338626591;81.06988,25.5481289114053;83.08553,5.64519562348333;107.08553,6.94793307505641;109.02841,9.57469453786879;109.10118,10.3708118693857;113.13248,2.53310060028098;127.03897,12.4058069734769;137.02332,4.95551109029759;153.09101,2.29894844395249;155.03389,7.16931329558517;183.0288,2.19251564562135;185.04445,2.516071352548;197.04445,3.56337008812636;211.0601,3.66554557452424;213.07575,9.55340797820256;223.13287,3.99761590531738;225.07575,3.21427050960024;225.14852,3.34624717953084;227.16417,2.09034015922347;265.14344,2.36280812295117;281.13835,2.37132274681766;55.01784,1.68589552556516;55.05423,3.54208352846013;69.03349,9.85993443739623;71.01276,2.38835199455064;80.99711,2.16697177402188;83.01276,1.6518370300992;85.02841,2.75873813274299;95.01276,5.91766358721104;95.08553,3.22278513346673;97.02841,3.63148707905828;99.04406,1.49431648856912;129.05462,1.74124058069735;151.00258,6.55200306526459","169.01425,72.8816199376947;44.9982,3.24506749740395;111.00877,15.9034267912773;123.00877,22.7933541017653;125.02442,100;151.00368,25.8618899273105;153.01933,11.7393561786085;166.9986,14.6469366562825;175.0612,5.59190031152648;263.12888,8.98234683281412;41.00329,15.9761163032191;43.01894,4.52751817237799;53.00329,5.20768431983385;55.01894,5.50363447559709;56.9982,2.6116303219107;59.05024,13.3073727933541;65.00329,3.15680166147456;67.01894,6.29802699896158;71.01385,2.79335410176532;73.06589,8.62928348909657;83.01385,2.67393561786085;87.08154,4.10176531671859;96.99312,5.61786085150571;97.0295,3.42159916926272;99.04515,4.24714434060228;101.09719,3.36448598130841;107.01385,8.92004153686397;109.0295,4.13811007268951;111.04515,2.55970924195223;127.04007,2.668743509865;129.12849,2.75700934579439;137.02442,6.06438213914849;171.0299,3.90446521287643",1034-01-1,EPAPLT0060,DTXSID4040713,,
Propylbenzene,CCCC1=CC=CC=C1,C9H12,120.0939004,120.19,3.507,"43.05423,16.3992651561543;91.05423,100;77.03858,34.1334966319657;79.05423,24.1559501939171;93.06988,7.45050010206165;65.03858,8.02612778117983","91.05532,92.68;77.03967,100",103-65-1,EPAPLT0061,DTXSID3042219,,
N-Ethyl aniline,CCNC1=CC=CC=C1,C8H11N,121.0891494,121.18,1.421,"94.06513,100;67.05423,28.4455958549223;92.04948,60.4209844559586;106.06513,10.479274611399;39.02293,13.8406735751295;51.02293,26.2370466321244;56.04948,14.5401554404145;65.03858,64.7668393782383;68.04948,9.20336787564767;77.03858,14.3199481865285;79.05423,20.919689119171;120.08078,10.6088082901554","92.05057,100;40.01927,11.2380696330152",103-69-5,NA,NA,,
Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,C8H9NO2,151.0633285,151.16,0.314,"110.06004,100;80.04948,66.2755961110206;83.04914,18.6790505675955;108.04439,44.1746781815219;124.07569,6.45266416816034;39.02293,11.0911954809625;42.03383,4.0193362663625;43.01784,30.3894410949976;51.02293,13.1551789690946;54.03383,7.87029493237738;56.04948,12.3350171093368;63.02293,17.9946770952148;65.03858,14.0350877192982;66.03383,3.56851882027049;76.01818,3.56308728477541;78.03383,8.99462277985987;82.02874,4.30720764760198;82.06513,11.1835315843789;94.02874,6.99581771766879","108.04549,100;41.00329,30.8510638297872;118.02984,17.1550151975684;122.06114,13.0820668693009;40.01927,12.2857142857143;54.03492,6.89969604863222;58.02984,17.258358662614;64.01927,11.7142857142857;65.99854,6.54103343465045;76.01927,14.9057750759878;78.03492,25.4711246200608;80.05057,18.5045592705167;82.02984,11.0516717325228;106.02984,9.87841945288754;120.04549,10.1155015197568;134.02475,7.75683890577508",103-90-2,EPAPLT0061,DTXSID2020006,,
Imazapic,CC1=CC(=C(N=C1)C2=NC(C(=O)N2)(C)C(C)C)C(=O)O,C14H17N3O3,275.1269914,275.3,0.399,"258.1237,100;69.06988,43.1118630832303;84.08078,9.16899850328626;92.04948,37.0794559770938;96.08078,11.3164573436585;97.03964,4.9131255287304;120.04439,9.33168477907204;137.07094,3.85241101060714;139.08659,10.1581310600638;147.05529,15.6764495347172;163.0502,10.9715624389926;190.0611,14.7914361944426;216.07675,2.76566668835817;230.12879,3.63115767553849;274.11862,3.20817335849548;0.10165,0.0510470488709572;55.05423,24.1751805817661;94.06513,8.10177653413158;95.02399,5.32309494371055;109.03964,6.47491377627383;117.04472,35.8170104769962;119.06037,9.72213184095789;134.07127,50.354656081213;151.08659,5.51831847465348;160.05054,5.95431769375935;162.06619,65.0745103143099;180.07675,24.0190017570118;185.10732,4.97820003904471;186.06619,26.7781609943385;188.08184,25.4441335328952;248.13935,5.78512396694215;260.10297,9.68308713476931","230.12989,19.5327995298612;41.99854,34.0777198266363;92.05057,78.873135972967;117.04582,15.5586571659443;121.04074,4.20921178285462;137.07204,15.3676632630574;187.12407,3.54807904209212;202.13497,4.55446999191949;214.09859,100;228.11424,5.17887313597297;69.00944,7.65444795416146;84.08187,5.28906192610005;95.02509,6.42033350473812;145.04074,9.37339308014398;160.05164,36.810401821788;162.06729,6.93454785866451;163.0513,9.05017262910453;164.08294,5.31109968412547;186.06729,6.273415117902;212.08294,11.7093954308382",104098-48-8,EPAPLT0060,DTXSID5034270,,
Mesotrione,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],C14H13NO7S,339.0412729,339.32,-0.818,"270.00668,100;271.01451,6.16536661466459;272.02233,20.6302652106084;311.04581,9.67238689547582;339.04072,63.3322932917317;111.04406,3.48205928237129;139.03897,9.60998439937598;151.02639,5.56630265210608;152.03422,6.00936037441498;229.00394,18.1528861154446;230.01177,12.5241809672387;259.04752,2.97659906396256;261.06317,13.6349453978159;263.07882,3.10764430577223;268.99886,9.69110764430577;296.02233,3.8003120124805;298.0016,5.9594383775351;300.01725,4.46801872074883;310.03798,2.42121684867395;41.00219,10.390015600624;41.03858,48.4617784711388;43.01784,6.10296411856474;53.03858,16.5741029641186;65.00219,5.94071762870515;67.01784,9.67238689547582;68.99711,32.1684867394696;69.03349,9.32917316692668;71.01276,16.9609984399376;83.04914,4.99219968798752;95.01276,7.51326053042122;96.99202,6.42745709828393;109.02841,6.3588143525741;121.02841,22.3588143525741;124.0393,7.8814352574103;136.0155,7.54446177847114;137.02332,16.5491419656786;176.00121,4.94851794071763;183.01104,8.71138845553822;185.01412,62.402496099844;186.02194,36.5741029641186;199.00596,8.3182527301092;201.00903,6.3588143525741;254.01177,5.60374414976599","76.97027,30.76;109.0295,11.14;213.05572,31.95;258.0408,7.58;259.04862,9.16;270.00778,9.1;291.03327,8.85;296.02343,13.34;310.03908,49.53;337.02617,26.02;41.00329,25.02;45.99345,83.07;111.04515,61.93;113.0608,100;126.98592,40.94;129.00157,37.8;131.01722,99.98;161.02442,59.9;163.04007,51.68;165.05572,20.53;225.0227,20.74",104206-82-8,EPAPLT0067,DTXSID7032424,,
Butylbenzene,CCCCC1=CC=CC=C1,C10H14,134.1095504,134.22,4.076,"91.05423,100;93.06988,27.3701124799143;57.06988,2.94590251740761;77.03858,11.4239804116612;79.05423,13.3139490397123;105.06988,9.02134822863264;107.08553,3.32466141250287;109.10118,3.23666692172316;65.03858,8.77266814599434","77.03967,65.6408331769563;91.05532,100;65.03967,15.6783636704823",104-51-8,EPAPLT0063,DTXSID6022472,,
Resmethrin,CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C,C22H26O3,338.1881947,338.4,4.775,"67.05423,31.3956060159245;95.04914,11.7295782954881;97.06479,6.35874373341197;123.11683,9.95281627838396;171.08044,100;189.09101,46.2105573577116;283.13287,26.5482158655264;297.14852,41.4110881745798;39.02293,23.064730168092;41.03858,21.4685933352993;55.05423,29.946918313182;79.05423,7.79637275140077;81.06988,20.8050722500737;91.05423,53.8115600117959;109.06479,9.90858153936892;157.06479,44.164700678266;159.08044,16.7723385432026;187.07536,14.8038926570333;215.07027,9.62842819227367;271.13287,5.70259510468888;281.15361,4.2797109997051;299.16417,26.5334709525214;337.17982,12.2309053376585;43.05423,6.85638454733117;69.06988,7.20289000294898;93.06988,4.3350044234739;103.05423,3.43925095841935;105.06988,6.0011795930404;107.08553,10.3619876142731;109.10118,3.90371571807726;111.08044,4.87319374815689;117.06988,3.29180182836921;173.09609,5.03538779121203","77.03967,10.69;147.08154,2.655;149.09719,6.485;165.0921,2.885;187.07645,18.98;91.05532,49.565;107.08662,9.48;121.10227,32.255;123.11792,44.575;157.06589,100;55.01894,3.84;65.03967,5.155;67.05532,4.305;95.01385,5.085;103.05532,4.455;105.03459,3.285;107.05024,7.18;109.0295,3.02;109.06589,8.455;115.05532,15.6;127.05532,6.035;129.07097,3.285;139.05532,5.625;143.05024,7.71;155.05024,6.32;189.0921,3.52;191.10775,3.29;193.08702,5.535;205.08702,3.15;205.1234,3.26;229.08702,4.81;295.13397,4.745;297.14962,3.91;311.16527,3.5;321.14962,9.265",10453-86-8,EPAPLT0061,DTXSID7022253,,
5-Heptyldihydro-2(3H)-furanone,CCCCCCCC1CCC(=O)O1,C11H20O2,184.1463299,184.27,3.882,"41.03858,78.3647068579484;43.05423,41.1518368023883;55.05423,100;57.06988,47.4500373165271;69.06988,31.9553860187412;71.08553,10.2205821378224;81.06988,38.3862675180363;85.10118,3.98042955468944;97.10118,10.9378887138237;115.07536,11.655195289825;123.11683,11.8956795754208;139.14813,3.82701716560245;167.14304,10.241313541753;81.03349,4.63139563811261;83.08553,4.6065179533958;85.02841,8.01476075959864;95.08553,4.63139563811261;97.06479,3.93482046604196;99.04406,8.89377228625923;101.05971,3.20092876689609;109.10118,6.78746164690273;111.11683,4.69358984990464;113.05971,4.37847251015839;125.13248,3.44141305249192;127.07536,5.0584625590845;39.02293,1.94875196948337;43.01784,4.63968819968488;45.03349,2.94800563894187;55.01784,4.26237664814661;57.03349,3.56994775686209;83.04914,3.18019736296542;93.06988,1.84094866904387;107.08553,6.78746164690273;139.11174,6.78331536611659","165.12849,4.89549990585577;41.00329,83.2893993598192;43.01894,29.0623234795707;53.00329,3.47392204857842;57.03459,55.9405008472981;59.01385,42.3272453398607;83.01385,3.14441724722275;95.08662,3.13500282432687;97.10227,6.17586141969497;99.11792,2.62662398794954;111.11792,24.694031255884;155.14414,23.4889851252118;181.1234,100;44.9982,26.5675014121634;55.01894,54.2835624176238;65.03967,18.4522688759179;67.01894,30.3897571078893;67.05532,25.2683110525325;69.03459,33.1387685934852;73.0295,17.1436640933911;79.01894,19.280738090755;81.03459,30.0225946149501;83.05024,35.9819243080399;93.03459,46.5166635285257;97.0295,50.2447749952928;99.04515,18.3016381095839;107.05024,33.3929580116739;109.06589,15.3643381660704;113.13357,23.7149312747129;121.06589,17.7744304274148;123.08154,24.2233101110902;125.0608,18.2263227264169;127.07645,26.6993033327057;127.11284,20.579928450386;139.07645,15.8256448879684;167.10775,14.8747881754848",104-67-6,EPAPLT0060,DTXSID4034287,,
2-Ethyl-1-hexanol,CCCCC(CC)CO,C8H18O,130.1357652,130.23,2.855,"43.05423,45.68;55.05423,35.2933333333333;57.06988,100;59.08553,4.98666666666667;71.08553,5.72333333333333;83.08553,9.49333333333333;85.10118,8.14333333333333;113.13248,3.04;41.03858,35.23","99.11792,4.68272404939479;57.07097,78.0596649957208;81.07097,60.881525858907;97.10227,40.4572686147451;109.10227,37.9386233035824;111.11792,100;127.11284,57.9899743244896;43.01894,15.3074948037657;53.03967,32.0393691160289;55.01894,28.7687981415821;55.05532,20.6810123486979;59.05024,29.8324978603741;67.05532,40.3655703631251;71.08662,58.3567673309696;85.10227,20.0085585034845;95.08662,24.513999266414;99.08154,40.1882870766597;101.09719,15.6865142437951;111.08154,15.6865142437951;113.09719,17.0803276684191",104-76-7,EPAPLT0066,DTXSID5020605,,
3-isopropoxy-5-methoxy-N-(1H-tetrazol-5-yl)benzo[b]thiophene-2-carboxamide,CC(C)OC1=C(SC2=C1C=C(C=C2)OC)C(=O)NC3=NNN=N3,C14H15N5O3S,333.0895605,333.37,2.032,"292.04989,14.7895408163265;207.01104,28.9859693877551;306.09069,100;43.05423,20.6887755102041;69.00834,10.8992346938775;79.05423,6.49872448979592;84.01924,11.0650510204082;86.03489,20.2168367346939;86.04612,13.4566326530612;107.04914,6.28826530612245;112.02539,12.4234693877551;139.02121,10.5293367346939;151.02121,8.67984693877551;167.01613,13.2716836734694;179.01613,15.5484693877551;181.03178,9.56632653061224;204.99539,10.484693877551;207.04743,8.60331632653061;222.00802,20.1977040816327;246.03317,11.2244897959184;249.05799,7.09183673469388;262.02809,42.2385204081633;264.04374,33.75;264.05497,7.66581632653061;266.07062,7.40433673469388;274.03932,7.54464285714286;274.05324,13.5076530612245;277.03899,15.4081632653061;290.03424,7.62117346938775;302.05939,10.593112244898;304.07504,14.2219387755102;332.08119,18.2334183673469","221.06417,46.9651741293532;41.99854,82.9519071310116;69.02067,100;84.03157,24.0630182421227;110.01083,88.2006633499171;112.02648,10.9618573797678;205.03287,34.2620232172471;219.04852,21.5422885572139;233.02779,12.0232172470978;247.04344,6.98175787728027;249.05909,12.3963515754561;262.04042,6.86567164179105;262.05434,25.787728026534;298.09456,7.21393034825871;41.01452,9.35323383084577;82.01592,13.407960199005;122.99101,11.8739635157546;127.99241,7.2636815920398;139.02231,4.61857379767828;153.9829,10.273631840796;155.99855,13.2504145936982;179.01722,18.7562189054726;189.03796,5.59701492537314;203.01722,8.54063018242123;258.00912,4.75124378109453;258.06326,5.03316749585406;330.06663,19.8424543946932",104795-66-6,EPAPLT0066,DTXSID8047268,CI-959,104795-68-8
Tamoxifen,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,C26H29NO,371.2249145,371.5,6.342,"72.08078,100;256.16959,11.9596541786744;44.04948,5.24975984630163;117.06988,6.30643611911624;119.08553,8.29971181556196;121.10118,3.26128722382325;254.15394,7.95389048991355;294.18524,3.5014409221902;301.15869,4.6685878962536;327.17434,6.37848222862632;42.03383,2.07492795389049;46.06513,1.19596541786744;70.06513,1.97406340057637;79.05423,1.42170989433237;91.05423,2.33909702209414;123.11683,1.27281460134486;183.08044,3.27569644572526;209.09609,1.12391930835735;356.20089,1.44092219020173","299.14414,100;117.07097,8.06819803110287;119.08662,3.17448994150378;271.11284,24.6254815237552;281.13357,9.54487088029676;283.14922,11.8062491082893;297.12849,35.1191325438722;325.15979,3.60251105721216;340.17069,4.4514196033671;342.18634,4.65116279069767;344.20199,9.07404765301755;354.18634,2.32558139534884;93.03459,2.92481095734056;115.05532,3.90212583820802;181.06589,5.55000713368526;183.08154,6.0493651020117;207.11792,3.12455414467114;219.08154,12.7550292481096;221.09719,13.5968041090027;233.09719,2.86060778998431;235.11284,4.27307747182194;273.12849,7.16222000285347;279.11792,3.05321729205308;283.11284,8.34641175631331;295.11284,9.45926665715509;309.12849,5.17905550007134;311.14414,8.20373805107719;313.15979,4.72249964331574;327.17544,4.42288486231987",10540-29-1,EPAPLT0070,DTXSID1034187,,
Clodinafop-propargyl,CC(C(=O)OCC#C)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)Cl)F,C17H13ClFNO4,349.0517138,349.7,2.472,"266.03786,41.64738546969;294.03278,47.6579772738958;39.02293,70.636022417605;57.03349,6.91038099645226;238.00656,54.81515759165;240.02221,100;308.01204,25.0449894596123;55.01784,15.4095326237853;71.01276,3.54774024371433;73.02841,3.92308087819425;93.03349,3.36264075273793;95.04914,5.18792739986632;109.02841,16.3504550362487;111.04406,7.18803023291686;134.02365,3.44490719317189;136.0393,5.26505218777315;147.996,15.9185562239704;165.05462,3.53231528613296;186.01165,7.08005552984729;204.04553,24.4279911563577;212.0273,4.98226129878143;220.01598,5.66095943236156;224.0273,6.33451591341457;258.07608,4.47323769859633;262.00656,9.82569797933056;264.02221,15.3786827086226;320.01204,4.71489536737107;324.04334,5.01311121394416","238.00766,92.74;34.9694,100;55.01894,16.77;145.98144,20.025;244.06153,15.53;246.03273,6.255;264.02331,5.77;266.03896,8.335;274.02764,8.91;292.01822,16.275;294.03387,10.64;346.02879,15.635;107.01385,14.64;109.0295,3.765;129.98653,5.65;134.02475,3.73;135.04515,3.315;169.98144,4.705;195.99709,7.29;207.99709,5.19;209.97636,2.77;210.01274,3.155;211.99201,3.54;233.97636,3.005;262.00766,8.87",105512-06-9,EPAPLT0064,DTXSID6032354,,
Ethyl butyrate,CCCC(=O)OCC,C6H12O2,116.0837296,116.16,1.486,"43.05423,100;71.04914,68.736649966989;89.05971,16.9754165210299;29.03858,4.19045399821352;43.01784,15.3520525068935;45.03349,20.2609810089712;47.04914,8.74208707134258;55.05423,15.1112664569498;57.06988,3.89141325876733;41.03858,21.1619868732766;44.99711,7.70903724416482","45.03459,71.2257339964704;69.03459,100;87.04515,47.6656505695492;43.01894,28.6579496229745;44.9982,15.5141986202471;59.01385,10.7813252045564;85.0295,6.51772822076047;41.00329,31.7704155302423;51.02402,15.6706240975453;67.01894,32.3640301620407",105-54-4,EPAPLT0062,DTXSID6040111,,
Caprolactam,C1CCC(=O)NCC1,C6H11NO,113.084064,113.16,0.404,"69.06988,46.57165203789;86.09643,8.88155036065004;96.08078,19.1361779786217;41.03858,57.7909098809421;42.03383,11.0106891457374;43.05423,27.8091596419571;44.01309,29.6515164682367;44.04948,33.2927783088555;55.05423,100;56.04948,23.4552880855132;58.06513,4.39732336838446;70.06513,33.7012253410967;72.04439,9.44642391587729;84.08078,6.34396454332146;39.02293,10.7934300860346;54.03383,6.96967063526549;58.02874,7.4997827409403;79.05423,8.54262622751369","41.99854,100;58.02984,35.1879812773668;40.01927,5.22421863203986;41.00329,13.6494035935377;42.03492,13.2794805979164;44.01419,3.43499924505511;53.00329,2.83859278272686;53.03967,2.92918616940963;54.03492,4.30318586743168;57.03459,3.37460365393326;66.03492,3.82002113845689;68.05057,3.2387135739091;110.06114,22.0896874528159",105-60-2,EPAPLT0068,DTXSID4020240,,
